,Unnamed: 0,주소,매장명,위도,경도,매장,0,1,2,3,지점명,시,구,동
8,,서울 영등포구 양평동3가 80-2,양평SK DT,37.5309805,126.893343,맥도날드,,,,,,,,
9,,서울 양천구 신월동 525-1,신월남부 DT점,37.5197288,126.8387402,맥도날드,,,,,,,,
10,,서울 서대문구 창천동 33-12,연세대점,37.5585515,126.9367086,맥도날드,,,,,,,,
11,,서울 강남구 삼성동 158-15,삼성역,37.5082794,127.0587636,맥도날드,,,,,,,,
12,,서울 마포구 서교동 490,합정메세나폴리스,37.5507165,126.9134947,맥도날드,,,,,,,,
13,,서울 영등포구 여의도동 23,여의도,37.525103,126.92577838897704,맥도날드,,,,,,,,
14,,서울 강남구 논현동 242-29,강남구청,37.5162358,127.0413134,맥도날드,,,,,,,,
15,,서울 광진구 화양동 212,어린이대공원점,37.5472224,127.0730854,맥도날드,,,,,,,,
16,,서울 중구 회현동3가 1-5,명동 2호점,37.5605158,126.9846104,맥도날드,,,,,,,,
17,,서울 금천구 가산동 50-3,가산디지털,37.4813244,126.8837789,맥도날드,,,,,,,,
18,,서울 서초구 양재동 81,양재 SK DT,37.478071,127.03961,맥도날드,,,,,,,,
19,,서울 금천구 가산동 371-6,가산비지니스센터점,37.4801705,126.8811402,맥도날드,,,,,,,,
20,,서울 동작구 사당동 147-29,이수점,37.484658,126.980731,맥도날드,,,,,,,,
21,,서울 구로구 신도림동 692,신도림 디큐브,37.5094279,126.8898029,맥도날드,,,,,,,,
22,,서울 마포구 도화동 559,공덕점,37.5411571,126.9471352,맥도날드,,,,,,,,
23,,서울 동작구 흑석동 221,중앙대,37.506553,126.958968,맥도날드,,,,,,,,
24,,서울 강남구 대치동 938-22,한티역,37.4973442,127.055157,맥도날드,,,,,,,,
25,,서울 강남구 역삼동 707-27,선릉,37.5034932,127.0470395,맥도날드,,,,,,,,
26,,서울 서초구 서초동 1536-1,서초GS점,37.486518,127.009527,맥도날드,,,,,,,,
27,,서울 중구 명동1가 48-2,명동,37.564146,126.9845069,맥도날드,,,,,,,,
